YEAR,STATE,WINNING PARTY
,,
2020,AZ,DEMOCRAT
,GA,DEMOCRAT
,MI,DEMOCRAT
,NV,DEMOCRAT
,NC,REPUBLICAN
,PA,DEMOCRAT
,WI,DEMOCRAT
2016,AZ,REPUBLICAN
,GA,REPUBLICAN
,MI,REPUBLICAN
,NV,DEMOCRAT
,NC,REPUBLICAN
,PA,REPUBLICAN
,WI,REPUBLICAN
2012,AZ,REPUBLICAN
,GA,REPUBLICAN
,MI,DEMOCRAT
,NV,DEMOCRAT
,NC,REPUBLICAN
,PA,DEMOCRAT
,WI,DEMOCRAT
2008,AZ,REPUBLICAN
,GA,REPUBLICAN
,MI,DEMOCRAT
,NV,DEMOCRAT
,NC,DEMOCRAT
,PA,DEMOCRAT
,WI,DEMOCRAT
2004,AZ,REPUBLICAN
,GA,REPUBLICAN
,MI,DEMOCRAT
,NV,REPUBLICAN
,NC,REPUBLICAN
,PA,DEMOCRAT
,WI,DEMOCRAT
2000,AZ,REPUBLICAN
,GA,REPUBLICAN
,MI,DEMOCRAT
,NV,REPUBLICAN
,NC,REPUBLICAN
,PA,DEMOCRAT
,WI,DEMOCRAT